time	V(v1)	V(v2)	V(vo1)	V(vo2)
0.000000000000000e+00	0.000000e+00	0.000000e+00	-2.666963e-04	-1.092112e-08
4.293901755410777e-07	2.697973e-05	2.697973e-05	-2.359903e-04	2.131743e-05
8.587803510821553e-07	5.395880e-05	5.395880e-05	-2.003588e-04	3.923433e-05
1.288170526623233e-06	8.093723e-05	8.093723e-05	-1.598018e-04	5.373978e-05
1.717560702164311e-06	1.079150e-04	1.079150e-04	-1.143193e-04	6.483377e-05
2.146950877705388e-06	1.348921e-04	1.348921e-04	-6.391130e-05	7.251631e-05
2.576341053246466e-06	1.618686e-04	1.618686e-04	-8.577740e-06	7.678740e-05
3.005731228787543e-06	1.888444e-04	1.888444e-04	5.168134e-05	7.764703e-05
8.318865917804393e-06	5.230286e-04	5.230286e-04	7.201975e-04	7.947317e-05
1.363200060682124e-05	8.558219e-04	8.558219e-04	1.384124e-03	8.071641e-05
1.894513529583810e-05	1.187224e-03	1.187224e-03	2.043462e-03	8.137674e-05
2.425826998485495e-05	1.517236e-03	1.517236e-03	2.698209e-03	8.145415e-05
2.957140467387180e-05	1.845857e-03	1.845857e-03	3.348368e-03	8.094866e-05
3.488453936288866e-05	2.173088e-03	2.173088e-03	3.993937e-03	7.986025e-05
4.019767405190549e-05	2.498927e-03	2.498927e-03	4.634916e-03	7.818894e-05
7.662048135649102e-05	4.630389e-03	4.630389e-03	8.720998e-03	7.116850e-05
1.372385470283778e-04	7.593381e-03	7.593381e-03	1.447855e-02	5.257793e-05
1.830716577533771e-04	9.128755e-03	9.128755e-03	1.778804e-02	3.392938e-05
2.050431813157607e-04	9.603693e-03	9.603693e-03	1.885438e-02	2.374335e-05
2.213524110881131e-04	9.838440e-03	9.838440e-03	1.934206e-02	1.574670e-05
2.388471238494022e-04	9.975458e-03	9.975458e-03	1.960230e-02	6.957500e-06
2.608489488079984e-04	9.976776e-03	9.976776e-03	1.959466e-02	-4.160831e-06
2.826602666131880e-04	9.790181e-03	9.790181e-03	1.917625e-02	-1.508031e-05
3.180375921021441e-04	9.100080e-03	9.100080e-03	1.760768e-02	-3.181960e-05
3.744966455794799e-04	7.093396e-03	7.093396e-03	1.346720e-02	-5.465410e-05
4.386711593450371e-04	3.758747e-03	3.758747e-03	7.031079e-03	-7.263712e-05
4.944513000550406e-04	3.485645e-04	3.485645e-04	4.685668e-04	-7.904348e-05
5.504125266283228e-04	-3.114811e-03	-3.114811e-03	-6.268720e-03	-7.572804e-05
6.019310644035203e-04	-5.975578e-03	-5.975578e-03	-1.180434e-02	-6.427721e-05
6.612832443273445e-04	-8.486208e-03	-8.486208e-03	-1.694074e-02	-4.340328e-05
6.893254273725359e-04	-9.282079e-03	-9.282079e-03	-1.870313e-02	-3.116974e-05
7.096437487975091e-04	-9.680240e-03	-9.680240e-03	-1.955146e-02	-2.154356e-05
7.248137202242723e-04	-9.875046e-03	-9.875046e-03	-1.995140e-02	-1.406064e-05
7.430512963710593e-04	-9.990470e-03	-9.990470e-03	-2.017348e-02	-4.856374e-06
7.624159086834979e-04	-9.969587e-03	-9.969587e-03	-2.012193e-02	4.921330e-06
7.852091439073112e-04	-9.756292e-03	-9.756292e-03	-1.963005e-02	1.631754e-05
8.221516934137181e-04	-8.989883e-03	-8.989883e-03	-1.789723e-02	3.362846e-05
8.809489741293121e-04	-6.801884e-03	-6.801884e-03	-1.342420e-02	5.686217e-05
9.441958456976209e-04	-3.434875e-03	-3.434875e-03	-6.946768e-03	7.368456e-05
9.993453043768269e-04	-4.113562e-05	-4.113562e-05	-4.060619e-04	7.914519e-05
1.054708683812140e-03	3.370152e-03	3.370152e-03	6.234588e-03	7.507009e-05
1.105953870462862e-03	6.176317e-03	6.176317e-03	1.166314e-02	6.307592e-05
1.165308761527314e-03	8.617279e-03	8.617279e-03	1.667756e-02	4.169446e-05
1.192189890551827e-03	9.347535e-03	9.347535e-03	1.830881e-02	2.981818e-05
1.211762720257675e-03	9.712781e-03	9.712781e-03	1.908517e-02	2.048336e-05
1.227112976670898e-03	9.896781e-03	9.896781e-03	1.945914e-02	1.289142e-05
1.246160633269242e-03	9.997090e-03	9.997090e-03	1.965870e-02	3.269799e-06
1.263572744565452e-03	9.963659e-03	9.963659e-03	1.958347e-02	-5.521810e-06
1.287090418321431e-03	9.729675e-03	9.729675e-03	1.903446e-02	-1.726086e-05
1.325184640460895e-03	8.904792e-03	8.904792e-03	1.717648e-02	-3.498800e-05
1.385687028220800e-03	6.580677e-03	6.580677e-03	1.245447e-02	-5.846448e-05
1.448275158323197e-03	3.193057e-03	3.193057e-03	5.950940e-03	-7.443833e-05
1.503038139324792e-03	-1.908803e-04	-1.908803e-04	-5.776571e-04	-7.920652e-05
1.557995378468941e-03	-3.563847e-03	-3.563847e-03	-7.146602e-03	-7.456193e-05
1.609101743959216e-03	-6.330652e-03	-6.330652e-03	-1.248119e-02	-6.209626e-05
1.670713587185553e-03	-8.784578e-03	-8.784578e-03	-1.754835e-02	-3.938399e-05
1.696065049726923e-03	-9.431265e-03	-9.431265e-03	-1.902027e-02	-2.801989e-05
1.714640387899748e-03	-9.754214e-03	-9.754214e-03	-1.970262e-02	-1.908244e-05
1.730692905980611e-03	-9.926509e-03	-9.926509e-03	-2.006217e-02	-1.110389e-05
1.746062467003790e-03	-9.996939e-03	-9.996939e-03	-2.020418e-02	-3.329983e-06
1.763536239574838e-03	-9.963853e-03	-9.963853e-03	-2.011703e-02	5.482858e-06
1.787031059700342e-03	-9.730536e-03	-9.730536e-03	-1.956986e-02	1.720762e-05
1.825088992321521e-03	-8.907526e-03	-8.907526e-03	-1.771588e-02	3.492319e-05
1.885537856293083e-03	-6.587731e-03	-6.587731e-03	-1.300190e-02	5.839203e-05
1.948125470440683e-03	-3.201969e-03	-3.201969e-03	-6.501534e-03	7.438997e-05
2.002892466152618e-03	1.817290e-04	1.817290e-04	2.646443e-05	7.918394e-05
2.057878631731874e-03	3.556993e-03	3.556993e-03	6.599810e-03	7.456078e-05
2.108981626345398e-03	6.324808e-03	6.324808e-03	1.194607e-02	6.213888e-05
2.169284401788586e-03	8.741317e-03	8.741317e-03	1.693030e-02	3.998707e-05
2.195037168496500e-03	9.409598e-03	9.409598e-03	1.844078e-02	2.848572e-05
2.213875888061495e-03	9.743517e-03	9.743517e-03	1.914749e-02	1.943925e-05
2.229742298767902e-03	9.919105e-03	9.919105e-03	1.951420e-02	1.156068e-05
2.245111164305107e-03	9.995283e-03	9.995283e-03	1.966531e-02	3.789547e-06
2.263182427324627e-03	9.965718e-03	9.965718e-03	1.958524e-02	-5.329240e-06
2.286455723405626e-03	9.738807e-03	9.738807e-03	1.905577e-02	-1.694785e-05
2.324161752678320e-03	8.933852e-03	8.933852e-03	1.724038e-02	-3.454078e-05
2.384090894189719e-03	6.655857e-03	6.655857e-03	1.260302e-02	-5.793983e-05
2.446845687337635e-03	3.278042e-03	3.278042e-03	6.113744e-03	-7.418790e-05
2.501782749506083e-03	-1.120111e-04	-1.120111e-04	-4.245260e-04	-7.919549e-05
2.556917260042645e-03	-3.500474e-03	-3.500474e-03	-7.022612e-03	-7.473765e-05
2.608065714510295e-03	-6.280127e-03	-6.280127e-03	-1.238475e-02	-6.241832e-05
2.669394568010688e-03	-8.744678e-03	-8.744678e-03	-1.746673e-02	-3.995275e-05
2.695116320522219e-03	-9.411281e-03	-9.411281e-03	-1.897775e-02	-2.846800e-05
2.713934728017509e-03	-9.744348e-03	-9.744348e-03	-1.968257e-02	-1.943085e-05
2.729815474149111e-03	-9.919687e-03	-9.919687e-03	-2.004892e-02	-1.154510e-05
2.745127490871133e-03	-9.995314e-03	-9.995314e-03	-2.019901e-02	-3.802156e-06
2.763188500429818e-03	-9.965686e-03	-9.965686e-03	-2.011860e-02	5.309783e-06
2.786465599267664e-03	-9.738666e-03	-9.738666e-03	-1.958883e-02	1.693009e-05
2.824177671608639e-03	-8.933404e-03	-8.933404e-03	-1.777278e-02	3.452399e-05
2.884115748676625e-03	-6.654692e-03	-6.654692e-03	-1.313431e-02	5.792481e-05
2.946836350162692e-03	-3.278596e-03	-3.278596e-03	-6.648376e-03	7.416394e-05
3.001773429124360e-03	1.114255e-04	1.114255e-04	-1.100351e-04	7.917298e-05
3.056931993704586e-03	3.501341e-03	3.501341e-03	6.490812e-03	7.471406e-05
3.108088782101343e-03	6.281255e-03	6.281255e-03	1.186290e-02	6.241655e-05
3.168130727734410e-03	8.705881e-03	8.705881e-03	1.685797e-02	4.048335e-05
3.194209091771759e-03	9.391858e-03	9.391858e-03	1.840304e-02	2.887541e-05
3.213260620048681e-03	9.734745e-03	9.734745e-03	1.912969e-02	1.974270e-05
3.228977013080986e-03	9.912886e-03	9.912886e-03	1.950012e-02	1.194696e-05
3.244940475887239e-03	9.994947e-03	9.994947e-03	1.966213e-02	3.877724e-06
3.263118933222878e-03	9.966047e-03	9.966047e-03	1.958552e-02	-5.297713e-06
3.286352470894139e-03	9.740278e-03	9.740278e-03	1.905921e-02	-1.689689e-05
3.323995314428248e-03	8.938546e-03	8.938546e-03	1.725071e-02	-3.446787e-05
3.383831004520459e-03	6.668035e-03	6.668035e-03	1.262744e-02	-5.785521e-05
3.446559205590688e-03	3.295042e-03	3.295042e-03	6.146484e-03	-7.413716e-05
3.501572209458162e-03	-9.878322e-05	-9.878322e-05	-3.988401e-04	-7.919042e-05
3.556783898353281e-03	-3.492623e-03	-3.492623e-03	-7.006959e-03	-7.475672e-05
3.607973515396858e-03	-6.275618e-03	-6.275618e-03	-1.237601e-02	-6.244611e-05
3.669260482394195e-03	-8.740587e-03	-8.740587e-03	-1.745842e-02	-4.000999e-05
3.695019984715753e-03	-9.409233e-03	-9.409233e-03	-1.897339e-02	-2.851378e-05
3.713863114672583e-03	-9.743337e-03	-9.743337e-03	-1.968052e-02	-1.946594e-05
3.729726413087144e-03	-9.918978e-03	-9.918978e-03	-2.004731e-02	-1.159013e-05
3.745107620098774e-03	-9.995276e-03	-9.995276e-03	-2.019864e-02	-3.812724e-06
3.763181108957525e-03	-9.965724e-03	-9.965724e-03	-2.011864e-02	5.306445e-06
3.786453579523565e-03	-9.738837e-03	-9.738837e-03	-1.958924e-02	1.692374e-05
3.824158296937132e-03	-8.933950e-03	-8.933950e-03	-1.777398e-02	3.451575e-05
3.884085498624961e-03	-6.656110e-03	-6.656110e-03	-1.313750e-02	5.791631e-05
3.946750063531031e-03	-3.283717e-03	-3.283717e-03	-6.658379e-03	7.414871e-05
4.001744731959447e-03	1.096225e-04	1.096225e-04	-1.135461e-04	7.916955e-05
4.056961231932389e-03	3.503062e-03	3.503062e-03	6.493808e-03	7.470638e-05
4.108164715822095e-03	6.284967e-03	6.284967e-03	1.186987e-02	6.239212e-05
4.168200173133848e-03	8.708028e-03	8.708028e-03	1.686244e-02	4.045293e-05
4.194258895712804e-03	9.392932e-03	9.392932e-03	1.840533e-02	2.885246e-05
4.213297608895610e-03	9.735276e-03	9.735276e-03	1.913076e-02	1.972416e-05
4.229023026813720e-03	9.913267e-03	9.913267e-03	1.950098e-02	1.192365e-05
4.244950735873092e-03	9.994968e-03	9.994968e-03	1.966232e-02	3.872717e-06
4.263122749920054e-03	9.966027e-03	9.966027e-03	1.958550e-02	-5.299979e-06
4.286358677548186e-03	9.740190e-03	9.740190e-03	1.905900e-02	-1.689950e-05
4.324005319535608e-03	8.938264e-03	8.938264e-03	1.725009e-02	-3.447252e-05
4.383846628661888e-03	6.667304e-03	6.667304e-03	1.262636e-02	-5.786181e-05
4.446516365030339e-03	3.297583e-03	3.297583e-03	6.151533e-03	-7.412955e-05
4.501581422264502e-03	-9.936206e-05	-9.936206e-05	-3.999544e-04	-7.918743e-05
4.556844876064451e-03	-3.496213e-03	-3.496213e-03	-7.013589e-03	-7.474383e-05
4.608085224585344e-03	-6.281081e-03	-6.281081e-03	-1.238634e-02	-6.241062e-05
4.669367064326317e-03	-8.743839e-03	-8.743839e-03	-1.746517e-02	-3.996351e-05
4.695096558462607e-03	-9.410861e-03	-9.410861e-03	-1.897686e-02	-2.847813e-05
4.713920036839631e-03	-9.744140e-03	-9.744140e-03	-1.968215e-02	-1.943762e-05
4.729797203880496e-03	-9.919542e-03	-9.919542e-03	-2.004859e-02	-1.155434e-05
4.745123414392936e-03	-9.995306e-03	-9.995306e-03	-2.019893e-02	-3.804872e-06
4.763186984077174e-03	-9.965694e-03	-9.965694e-03	-2.011861e-02	5.309696e-06
4.786463133431459e-03	-9.738701e-03	-9.738701e-03	-1.958892e-02	1.692807e-05
4.824173696928385e-03	-8.933515e-03	-8.933515e-03	-1.777303e-02	3.452271e-05
4.884109542985286e-03	-6.654983e-03	-6.654983e-03	-1.313561e-02	5.792556e-05
4.946719967667324e-03	-3.285503e-03	-3.285503e-03	-6.661961e-03	7.414336e-05
5.001762109253297e-03	1.107143e-04	1.107143e-04	-1.114360e-04	7.916686e-05
5.057025395416090e-03	3.506838e-03	3.506838e-03	6.500808e-03	7.469305e-05
5.108280142007318e-03	6.290606e-03	6.290606e-03	1.188055e-02	6.235549e-05
5.168309361702515e-03	8.711399e-03	8.711399e-03	1.686943e-02	4.040566e-05
5.194337213084448e-03	9.394620e-03	9.394620e-03	1.840892e-02	2.881597e-05
5.213355778489813e-03	9.736111e-03	9.736111e-03	1.913246e-02	1.969529e-05
5.229095387590295e-03	9.913863e-03	9.913863e-03	1.950233e-02	1.188707e-05
5.244966871339128e-03	9.995000e-03	9.995000e-03	1.966262e-02	3.864621e-06
5.263128752259147e-03	9.965996e-03	9.965996e-03	1.958548e-02	-5.303219e-06
5.286368438449803e-03	9.740051e-03	9.740051e-03	1.905868e-02	-1.690402e-05
5.324021054009516e-03	8.937821e-03	8.937821e-03	1.724911e-02	-3.447958e-05
5.383871199518564e-03	6.666153e-03	6.666153e-03	1.262438e-02	-5.787109e-05
5.446492969693974e-03	3.298971e-03	3.298971e-03	6.154330e-03	-7.412536e-05
5.501600250388822e-03	-1.005450e-04	-1.005450e-04	-4.022433e-04	-7.918506e-05
5.556905059220157e-03	-3.499756e-03	-3.499756e-03	-7.020158e-03	-7.473139e-05
5.608194373230165e-03	-6.286416e-03	-6.286416e-03	-1.239645e-02	-6.237605e-05
5.669466836483509e-03	-8.746879e-03	-8.746879e-03	-1.747151e-02	-3.992024e-05
5.695168251163054e-03	-9.412384e-03	-9.412384e-03	-1.898010e-02	-2.844460e-05
5.713973334933521e-03	-9.744893e-03	-9.744893e-03	-1.968368e-02	-1.941120e-05
5.729863485971673e-03	-9.920068e-03	-9.920068e-03	-2.004979e-02	-1.152083e-05
5.745138203620884e-03	-9.995335e-03	-9.995335e-03	-2.019921e-02	-3.797430e-06
5.763192485307603e-03	-9.965666e-03	-9.965666e-03	-2.011858e-02	5.312626e-06
5.786472079323950e-03	-9.738574e-03	-9.738574e-03	-1.958862e-02	1.693227e-05
5.824188116782421e-03	-8.933108e-03	-8.933108e-03	-1.777213e-02	3.452914e-05
5.884132056653439e-03	-6.653927e-03	-6.653927e-03	-1.313377e-02	5.793398e-05
5.946701397410293e-03	-3.286605e-03	-3.286605e-03	-6.664190e-03	7.414002e-05
6.001780123852847e-03	1.118462e-04	1.118462e-04	-1.092460e-04	7.916481e-05
6.057078973178616e-03	3.509990e-03	3.509990e-03	6.506649e-03	7.468195e-05
6.108378590037464e-03	6.295414e-03	6.295414e-03	1.188968e-02	6.232428e-05
6.168398566392143e-03	8.714150e-03	8.714150e-03	1.687516e-02	4.036720e-05
6.194401206599955e-03	9.395997e-03	9.395997e-03	1.841184e-02	2.878607e-05
6.213403312901875e-03	9.736792e-03	9.736792e-03	1.913384e-02	1.967177e-05
6.229154517168952e-03	9.914349e-03	9.914349e-03	1.950343e-02	1.185718e-05
6.244980057077946e-03	9.995027e-03	9.995027e-03	1.966287e-02	3.857958e-06
6.263133657285501e-03	9.965970e-03	9.965970e-03	1.958545e-02	-5.305793e-06
6.286376414911429e-03	9.739937e-03	9.739937e-03	1.905841e-02	-1.690782e-05
6.324033911921089e-03	8.937459e-03	8.937459e-03	1.724831e-02	-3.448529e-05
6.383891278027903e-03	6.665213e-03	6.665213e-03	1.262273e-02	-5.787855e-05
6.446478743072306e-03	3.299815e-03	3.299815e-03	6.156043e-03	-7.412279e-05
6.501616792707278e-03	-1.015843e-04	-1.015843e-04	-4.042558e-04	-7.918335e-05
6.556951393341132e-03	-3.502483e-03	-3.502483e-03	-7.025209e-03	-7.472181e-05
6.608280429431257e-03	-6.290620e-03	-6.290620e-03	-1.240444e-02	-6.234882e-05
6.669542415772060e-03	-8.749180e-03	-8.749180e-03	-1.747631e-02	-3.988757e-05
6.695222567087789e-03	-9.413536e-03	-9.413536e-03	-1.898255e-02	-2.841913e-05
6.714013717489835e-03	-9.745462e-03	-9.745462e-03	-1.968484e-02	-1.939123e-05
6.729913705096286e-03	-9.920466e-03	-9.920466e-03	-2.005069e-02	-1.149542e-05
6.745149409364559e-03	-9.995356e-03	-9.995356e-03	-2.019941e-02	-3.791746e-06
6.763196653552121e-03	-9.965643e-03	-9.965643e-03	-2.011856e-02	5.314791e-06
6.786478857558671e-03	-9.738477e-03	-9.738477e-03	-1.958839e-02	1.693552e-05
6.824199042548394e-03	-8.932800e-03	-8.932800e-03	-1.777145e-02	3.453397e-05
6.884149114768337e-03	-6.653127e-03	-6.653127e-03	-1.313236e-02	5.794028e-05
6.946690596765949e-03	-3.287246e-03	-3.287246e-03	-6.665493e-03	7.413806e-05
7.001794629602102e-03	1.127575e-04	1.127575e-04	-1.074816e-04	7.916340e-05
7.057117788456852e-03	3.512274e-03	3.512274e-03	6.510875e-03	7.467390e-05
7.108451563068045e-03	6.298975e-03	6.298975e-03	1.189645e-02	6.230117e-05
7.168462374442391e-03	8.716116e-03	8.716116e-03	1.687926e-02	4.033977e-05
7.194446986585824e-03	9.396981e-03	9.396981e-03	1.841394e-02	2.876462e-05
7.213437320361143e-03	9.737279e-03	9.737279e-03	1.913483e-02	1.965498e-05
7.229196819347338e-03	9.914695e-03	9.914695e-03	1.950421e-02	1.183580e-05
7.244989490714372e-03	9.995045e-03	9.995045e-03	1.966305e-02	3.853163e-06
7.263137166535967e-03	9.965952e-03	9.965952e-03	1.958544e-02	-5.307594e-06
7.286382121583747e-03	9.739856e-03	9.739856e-03	1.905822e-02	-1.691058e-05
7.324043110938512e-03	8.937200e-03	8.937200e-03	1.724774e-02	-3.448934e-05
7.383905642743837e-03	6.664540e-03	6.664540e-03	1.262154e-02	-5.788383e-05
7.446471054903652e-03	3.300271e-03	3.300271e-03	6.156976e-03	-7.412137e-05
7.501629284624073e-03	-1.023692e-04	-1.023692e-04	-4.057758e-04	-7.918225e-05
7.556983208109678e-03	-3.504355e-03	-3.504355e-03	-7.028673e-03	-7.471522e-05
7.608340827557134e-03	-6.293570e-03	-6.293570e-03	-1.241005e-02	-6.232973e-05
7.669593627696120e-03	-8.750738e-03	-8.750738e-03	-1.747957e-02	-3.986551e-05
7.695259374726227e-03	-9.414315e-03	-9.414315e-03	-1.898421e-02	-2.840184e-05
7.714041084426055e-03	-9.745847e-03	-9.745847e-03	-1.968562e-02	-1.937772e-05
7.729947737675848e-03	-9.920735e-03	-9.920735e-03	-2.005130e-02	-1.147821e-05
7.745157003575517e-03	-9.995370e-03	-9.995370e-03	-2.019955e-02	-3.787866e-06
7.763199478392029e-03	-9.965628e-03	-9.965628e-03	-2.011855e-02	5.316225e-06
7.786483451198608e-03	-9.738412e-03	-9.738412e-03	-1.958824e-02	1.693777e-05
7.824206446965352e-03	-8.932590e-03	-8.932590e-03	-1.777099e-02	3.453722e-05
7.884160674971970e-03	-6.652585e-03	-6.652585e-03	-1.313139e-02	5.794450e-05
7.946685216217496e-03	-3.287566e-03	-3.287566e-03	-6.666150e-03	7.413706e-05
8.001804987189319e-03	1.134083e-04	1.134083e-04	-1.062210e-04	7.916254e-05
8.057143071944368e-03	3.513761e-03	3.513761e-03	6.513625e-03	7.466865e-05
8.108500154249087e-03	6.301346e-03	6.301346e-03	1.190097e-02	6.228579e-05
8.168503428604680e-03	8.717380e-03	8.717380e-03	1.688191e-02	4.032218e-05
8.194476443884402e-03	9.397614e-03	9.397614e-03	1.841528e-02	2.875079e-05
8.213459203494750e-03	9.737592e-03	9.737592e-03	1.913546e-02	1.964420e-05
8.229224039621941e-03	9.914919e-03	9.914919e-03	1.950471e-02	1.182204e-05
8.244995561158588e-03	9.995057e-03	9.995057e-03	1.966316e-02	3.850059e-06
8.263139424695287e-03	9.965940e-03	9.965940e-03	1.958543e-02	-5.308726e-06
8.286385793754760e-03	9.739804e-03	9.739804e-03	1.905810e-02	-1.691240e-05
8.324049030373752e-03	8.937033e-03	8.937033e-03	1.724738e-02	-3.449193e-05
8.383914886152428e-03	6.664107e-03	6.664107e-03	1.262076e-02	-5.788719e-05
8.446467702090239e-03	3.300470e-03	3.300470e-03	6.157388e-03	-7.412073e-05
8.501637752179370e-03	-1.029012e-04	-1.029012e-04	-4.068069e-04	-7.918160e-05
8.557002842946099e-03	-3.505511e-03	-3.505511e-03	-7.030809e-03	-7.471115e-05
8.608378968497943e-03	-6.295432e-03	-6.295432e-03	-1.241360e-02	-6.231768e-05
8.669624775319974e-03	-8.751685e-03	-8.751685e-03	-1.748156e-02	-3.985214e-05
8.695281762935755e-03	-9.414790e-03	-9.414790e-03	-1.898521e-02	-2.839129e-05
8.714057730875231e-03	-9.746081e-03	-9.746081e-03	-1.968610e-02	-1.936952e-05
8.729968438421313e-03	-9.920898e-03	-9.920898e-03	-2.005167e-02	-1.146773e-05
8.745161622963033e-03	-9.995379e-03	-9.995379e-03	-2.019964e-02	-3.785487e-06
8.763201196675145e-03	-9.965620e-03	-9.965620e-03	-2.011854e-02	5.317074e-06
8.786486245399551e-03	-9.738372e-03	-9.738372e-03	-1.958815e-02	1.693917e-05
8.824210950885251e-03	-8.932463e-03	-8.932463e-03	-1.777071e-02	3.453918e-05
8.884167706704391e-03	-6.652255e-03	-6.652255e-03	-1.313079e-02	5.794704e-05
8.946683257690213e-03	-3.287682e-03	-3.287682e-03	-6.666394e-03	7.413668e-05
9.001811650515763e-03	1.138269e-04	1.138269e-04	-1.054098e-04	7.916207e-05
9.057157771096263e-03	3.514626e-03	3.514626e-03	6.515221e-03	7.466559e-05
9.108529135008606e-03	6.302760e-03	6.302760e-03	1.190367e-02	6.227664e-05
9.168526934312414e-03	8.718103e-03	8.718103e-03	1.688343e-02	4.031216e-05
9.194493310615687e-03	9.397976e-03	9.397976e-03	1.841605e-02	2.874284e-05
9.213471733713041e-03	9.737771e-03	9.737771e-03	1.913583e-02	1.963804e-05
9.229239625748857e-03	9.915045e-03	9.915045e-03	1.950500e-02	1.181417e-05
9.244999037107193e-03	9.995064e-03	9.995064e-03	1.966322e-02	3.848268e-06
9.263140717719809e-03	9.965934e-03	9.965934e-03	1.958542e-02	-5.309356e-06
9.286387896443194e-03	9.739773e-03	9.739773e-03	1.905803e-02	-1.691346e-05
9.324052419842277e-03	8.936937e-03	8.936937e-03	1.724717e-02	-3.449339e-05
9.383920178900100e-03	6.663859e-03	6.663859e-03	1.262030e-02	-5.788908e-05
9.446466918154803e-03	3.300516e-03	3.300516e-03	6.157492e-03	-7.412057e-05
9.501642910951125e-03	-1.032253e-04	-1.032253e-04	-4.074351e-04	-7.918129e-05
9.557013498819093e-03	-3.506138e-03	-3.506138e-03	-7.031966e-03	-7.470894e-05
9.608400296407337e-03	-6.296473e-03	-6.296473e-03	-1.241559e-02	-6.231096e-05
9.669641335726771e-03	-8.752188e-03	-8.752188e-03	-1.748262e-02	-3.984507e-05
9.695293666620390e-03	-9.415042e-03	-9.415042e-03	-1.898575e-02	-2.838566e-05
9.714066581863755e-03	-9.746206e-03	-9.746206e-03	-1.968635e-02	-1.936517e-05
9.729979445033303e-03	-9.920985e-03	-9.920985e-03	-2.005187e-02	-1.146215e-05
9.745164079132038e-03	-9.995384e-03	-9.995384e-03	-2.019968e-02	-3.784208e-06
9.763202110300361e-03	-9.965615e-03	-9.965615e-03	-2.011854e-02	5.317510e-06
9.786487731098701e-03	-9.738350e-03	-9.738350e-03	-1.958810e-02	1.693993e-05
9.824213345652888e-03	-8.932396e-03	-8.932396e-03	-1.777056e-02	3.454021e-05
9.884171445514046e-03	-6.652080e-03	-6.652080e-03	-1.313047e-02	5.794836e-05
9.946683203320272e-03	-3.287685e-03	-3.287685e-03	-6.666408e-03	7.413665e-05
1.000181546932416e-02	1.140668e-04	1.140668e-04	-1.049446e-04	7.916187e-05
1.005716508301605e-02	3.515056e-03	3.515056e-03	6.516014e-03	7.466407e-05
1.010854411429233e-02	6.303491e-03	6.303491e-03	1.190506e-02	6.227191e-05
1.016853833971631e-02	8.718454e-03	8.718454e-03	1.688416e-02	4.030732e-05
1.019450149488831e-02	9.398151e-03	9.398151e-03	1.841643e-02	2.873897e-05
1.021347781385624e-02	9.737858e-03	9.737858e-03	1.913600e-02	1.963507e-05
1.022924718870412e-02	9.915108e-03	9.915108e-03	1.950514e-02	1.181034e-05
1.024500072377890e-02	9.995067e-03	9.995067e-03	1.966326e-02	3.847389e-06
1.026314134514738e-02	9.965931e-03	9.965931e-03	1.958542e-02	-5.309648e-06
1.028638891675211e-02	9.739759e-03	9.739759e-03	1.905800e-02	-1.691400e-05
1.032405406454717e-02	8.936890e-03	8.936890e-03	1.724706e-02	-3.449410e-05
1.038392274714438e-02	6.663739e-03	6.663739e-03	1.262008e-02	-5.788998e-05
1.044646744027054e-02	3.300485e-03	3.300485e-03	6.157436e-03	-7.412065e-05
1.050164566292417e-02	-1.033982e-04	-1.033982e-04	-4.077706e-04	-7.918117e-05
1.055701820788342e-02	-3.506415e-03	-3.506415e-03	-7.032476e-03	-7.470797e-05
1.060841024056298e-02	-6.296958e-03	-6.296958e-03	-1.241652e-02	-6.230784e-05
1.066964836419854e-02	-8.752402e-03	-8.752402e-03	-1.748308e-02	-3.984210e-05
1.069529871880500e-02	-9.415149e-03	-9.415149e-03	-1.898598e-02	-2.838325e-05
1.071407033845196e-02	-9.746259e-03	-9.746259e-03	-1.968646e-02	-1.936334e-05
1.072998411651052e-02	-9.921022e-03	-9.921022e-03	-2.005196e-02	-1.145978e-05
1.074516512159801e-02	-9.995386e-03	-9.995386e-03	-2.019970e-02	-3.783653e-06
1.076320249806792e-02	-9.965613e-03	-9.965613e-03	-2.011854e-02	5.317681e-06
1.078648836167002e-02	-9.738341e-03	-9.738341e-03	-1.958808e-02	1.694027e-05
1.082421436205713e-02	-8.932367e-03	-8.932367e-03	-1.777050e-02	3.454063e-05
1.088417303236304e-02	-6.652005e-03	-6.652005e-03	-1.313032e-02	5.794891e-05
1.094668402159049e-02	-3.287637e-03	-3.287637e-03	-6.666316e-03	7.413678e-05
1.100181732668096e-02	1.141835e-04	1.141835e-04	-1.047181e-04	7.916181e-05
1.105716776007282e-02	3.515213e-03	3.515213e-03	6.516303e-03	7.466352e-05
1.110855010616078e-02	6.303783e-03	6.303783e-03	1.190563e-02	6.227003e-05
1.116854225233402e-02	8.718574e-03	8.718574e-03	1.688442e-02	4.030569e-05
1.119450430253220e-02	9.398212e-03	9.398212e-03	1.841656e-02	2.873763e-05
1.121347989968369e-02	9.737887e-03	9.737887e-03	1.913606e-02	1.963406e-05
1.122924978321377e-02	9.915129e-03	9.915129e-03	1.950519e-02	1.180903e-05
1.124500130240235e-02	9.995068e-03	9.995068e-03	1.966327e-02	3.847078e-06
1.126314156039032e-02	9.965929e-03	9.965929e-03	1.958542e-02	-5.309735e-06
1.128638926677541e-02	9.739755e-03	9.739755e-03	1.905798e-02	-1.691420e-05
1.132405462877316e-02	8.936875e-03	8.936875e-03	1.724703e-02	-3.449433e-05
1.138392362819505e-02	6.663697e-03	6.663697e-03	1.261999e-02	-5.789027e-05
